"city","customer_count","percentage","cumulative_percentage"
"sao paulo","15540","15.6273569252119347","15.6273569252119347"
"rio de janeiro","6882","6.9206866383081425","22.5480435635200772"
"belo horizonte","2773","2.7885882080831850","25.3366317716032622"
"brasilia","2131","2.1429792540300279","27.4796110256332901"
"curitiba","1521","1.5295501855371527","29.0091612111704428"
"campinas","1444","1.4521173359077242","30.4612785470781670"
"porto alegre","1379","1.3867519433634014","31.8480304904415684"
"salvador","1245","1.2519986725797206","33.1000291630212890"
"guarulhos","1189","1.1956838728492272","34.2957130358705162"
"sao bernardo do campo","938","0.94327289548576542875","35.2389859313562816"
